student_id,week_n,n_engagements,student_type_id,student_country
258879,04,1,0,LY
258880,01,3,0,RU
258881,52,1,0,EG
258882,52,1,0,US
258883,01,2,1,US
258883,11,1,1,US
258884,52,1,0,EG
258885,01,1,0,MD
258885,52,1,0,MD
258887,01,1,0,SA
258888,52,1,0,GB
258890,52,1,0,RU
258892,05,1,0,MX
258892,14,1,0,MX
258892,52,1,0,MX
258893,52,1,0,AE
258894,52,1,0,US
258895,52,1,0,EG
258897,17,1,0,AR
258902,52,2,0,NG
258903,52,1,0,US
258904,01,2,0,SA
258904,02,2,0,SA
258904,52,2,0,SA
258905,01,1,0,NG
258906,01,2,0,EG
258906,02,2,0,EG
258906,03,1,0,EG
258906,04,1,0,EG
258906,06,1,0,EG
258906,10,1,0,EG
258906,52,1,0,EG
258907,17,1,0,EG
258908,01,1,1,US
258908,02,3,1,US
258908,03,3,1,US
258908,04,1,1,US
258908,52,2,1,US
258910,52,1,0,EG
258912,01,3,0,IN
258913,01,3,0,US
258913,04,1,1,US
258913,06,2,1,US
258913,08,1,1,US
258913,09,1,1,US
258913,10,5,1,US
258913,11,2,1,US
258913,14,2,1,US
258913,15,1,1,US
258913,16,3,1,US
258913,17,1,1,US
258913,20,3,1,US
258913,26,1,1,US
258913,27,6,1,US
258913,28,6,1,US
258913,29,2,1,US
258913,52,1,0,US
258914,52,1,0,LK
258915,01,1,0,SA
258915,25,1,0,SA
258915,30,1,0,SA
258916,15,2,1,CA
258916,35,2,1,CA
258916,36,1,1,CA
258916,37,3,1,CA
258916,42,1,1,CA
258917,52,1,0,US
258920,52,1,0,PH
258922,01,4,1,US
258922,02,1,1,US
258922,03,1,1,US
258922,06,1,1,US
258922,07,1,1,US
258922,26,2,1,US
258922,27,1,1,US
258922,29,1,1,US
258922,30,1,1,US
258922,37,1,1,US
258922,52,1,0,US
258924,01,1,0,EG
258924,03,3,0,EG
258924,05,4,0,EG
258924,10,1,0,EG
258925,52,1,0,ID
258927,31,1,0,IN
258927,52,1,0,IN
258929,09,2,0,US
258930,07,3,1,SA
258930,08,3,1,SA
258930,09,1,1,SA
258930,10,1,1,SA
258930,29,2,1,SA
258930,31,2,1,SA
258930,34,1,1,SA
258933,01,1,0,US
258933,03,1,0,US
258936,02,1,0,IN
258936,52,1,0,IN
258939,52,1,0,US
258940,25,1,0,DE
258940,52,1,0,DE
258947,52,1,0,IN
258951,01,1,0,EG
258951,04,2,0,EG
258951,12,2,0,EG
258951,13,1,0,EG
258951,52,1,0,EG
258954,52,1,0,IQ
258955,01,5,1,AE
258955,02,3,1,AE
258955,03,2,1,AE
258955,23,2,1,AE
258955,52,1,0,AE
258956,13,1,1,IN
258956,15,1,1,IN
258956,16,2,1,IN
258956,17,1,1,IN
258956,18,3,1,IN
258956,19,1,1,IN
258956,27,1,1,IN
258956,28,5,1,IN
258956,29,1,1,IN
258956,31,1,0,IN
258957,01,1,0,ZA
258959,52,1,0,IN
258960,52,1,0,CN
258962,52,1,0,EG
258965,52,1,0,IN
258967,52,1,0,NL
258969,52,1,0,US
258970,01,1,0,GM
258971,01,3,1,IL
258971,02,6,1,IL
258971,03,2,1,IL
258971,04,1,1,IL
258971,05,3,1,IL
258971,06,1,0,IL
258971,07,1,0,IL
258971,08,1,0,IL
258971,24,1,0,IL
258971,52,1,0,IL
258973,52,1,0,US
258974,52,1,0,SA
258979,01,1,0,SA
258979,52,1,0,SA
258980,01,1,1,MX
258980,02,3,1,MX
258980,06,3,1,MX
258980,08,1,1,MX
258980,38,2,1,MX
258980,52,1,0,MX
258982,52,1,0,TH
258984,01,5,1,DE
258984,02,2,1,DE
258984,13,2,1,DE
258984,14,2,1,DE
258984,15,1,1,DE
258984,21,1,1,DE
258984,22,2,1,DE
258984,25,1,1,DE
258984,26,1,1,DE
258984,27,1,1,DE
258984,52,1,1,DE
258987,01,1,0,ES
258989,52,1,0,IN
258991,52,1,0,MA
258993,52,1,0,SA
258994,01,1,0,GB
258994,02,1,0,GB
258994,52,1,0,GB
258996,01,2,0,SA
258996,02,1,0,SA
258997,52,1,0,NG
258998,52,1,0,SA
258999,52,1,0,IN
259000,01,1,0,SA
259000,02,1,0,SA
259000,52,1,0,SA
259001,01,1,0,AE
259001,52,1,0,AE
259002,01,2,0,SA
259002,52,1,0,SA
259005,07,1,0,TR
259005,08,1,0,TR
259005,28,1,0,TR
259005,52,1,0,TR
259008,52,1,0,US
259011,01,2,0,GB
259011,02,4,0,GB
259011,03,6,0,GB
259011,04,2,0,GB
259011,05,4,0,GB
259011,06,1,0,GB
259011,08,3,0,GB
259011,09,3,0,GB
259011,10,4,0,GB
259011,11,6,0,GB
259011,12,1,0,GB
259011,13,2,0,GB
259011,14,3,0,GB
259011,15,3,0,GB
259011,16,5,0,GB
259011,19,1,0,GB
259011,52,1,0,GB
259012,01,3,0,SA
259014,52,1,0,FR
259015,01,2,0,SA
259015,02,2,0,SA
259015,03,1,0,SA
259015,52,1,0,SA
259017,52,1,0,EG
259018,01,1,0,IN
259019,23,1,0,PK
259019,29,1,0,PK
259019,30,1,0,PK
259019,31,4,0,PK
259019,34,3,0,PK
259019,35,2,0,PK
259019,42,1,0,PK
259020,52,1,0,UA
259022,52,1,0,SA
259024,01,1,0,EG
259024,52,1,0,EG
259025,52,1,0,GB
259026,01,4,1,GB
259026,02,1,1,GB
259026,03,2,1,GB
259026,04,1,1,GB
259026,10,4,1,GB
259026,11,2,1,GB
259026,13,1,1,GB
259026,14,2,1,GB
259026,15,6,1,GB
259026,16,2,1,GB
259026,17,2,1,GB
259026,18,1,1,GB
259026,52,1,0,GB
259028,01,3,1,SA
259028,03,1,1,SA
259028,04,2,1,SA
259028,52,1,0,SA
259029,01,1,0,MA
259032,02,1,0,MY
259033,52,1,0,EG
259034,01,1,0,NG
259034,02,3,0,NG
259035,52,1,0,IQ
259036,26,1,0,EG
259039,01,5,1,US
259039,02,4,1,US
259039,03,1,1,US
259039,04,2,1,US
259039,05,1,1,US
259039,52,1,1,US
259040,52,1,0,EG
259041,52,1,0,CA
259042,33,5,0,EG
259043,01,1,0,CO
259043,52,1,0,CO
259045,04,1,0,AT
259046,08,1,0,PK
259047,01,1,0,CA
259047,52,1,0,CA
259048,52,1,0,FI
259051,52,1,0,US
259054,05,2,1,US
259054,16,2,1,US
259054,17,1,1,US
259055,01,1,0,IN
259056,01,1,0,CA
259057,01,1,0,IN
259058,01,1,0,BR
259059,01,1,0,AU
259060,01,3,0,US
259062,01,1,0,US
259063,01,1,0,US
259065,01,1,0,IN
259067,01,1,0,SG
259068,01,2,0,SA
259069,01,1,0,SN
259070,02,2,1,US
259070,03,2,1,US
259070,04,1,1,US
259070,06,3,1,US
259070,07,2,1,US
259070,08,3,1,US
259070,09,1,1,US
259070,10,1,1,US
259070,11,1,1,US
259070,13,2,1,US
259070,25,1,1,US
259071,01,2,0,GT
259072,01,1,0,SA
259077,01,1,0,IN
259078,01,1,0,SA
259079,01,1,0,IN
259080,01,2,0,NG
259080,05,1,0,NG
259084,01,1,0,OM
259084,04,1,0,OM
259085,01,1,0,IN
259086,01,1,0,IN
259088,01,4,0,IN
259088,52,1,0,IN
259090,01,1,0,IN
259093,01,2,0,EG
259095,03,1,0,IN
259097,01,1,0,HU
259098,01,1,0,IN
259098,21,1,0,IN
259099,01,1,0,US
259101,01,1,0,AU
259101,05,1,0,AU
259102,01,1,0,PK
259103,01,1,0,IN
259104,01,1,0,MA
259105,01,1,0,KE
259105,02,1,0,KE
259105,03,2,0,KE
259105,04,3,0,KE
259106,01,7,1,GB
259106,02,6,1,GB
259106,03,7,1,GB
259106,04,5,1,GB
259106,05,5,1,GB
259106,06,4,1,GB
259106,07,2,1,GB
259106,08,5,1,GB
259106,09,6,1,GB
259106,10,4,1,GB
259106,11,4,1,GB
259106,12,4,1,GB
259106,13,6,1,GB
259106,14,5,1,GB
259106,15,4,1,GB
259106,21,1,1,GB
259108,01,1,0,IN
259108,04,1,0,IN
259108,08,2,0,IN
259110,01,3,0,US
259113,01,1,0,MA
259114,01,1,0,SO
259115,01,1,0,NG
259116,01,1,0,BE
259118,01,1,0,ZA
259118,02,3,0,ZA
259121,01,2,0,IN
259123,01,1,0,IN
259123,15,2,0,IN
259125,01,1,0,IN
259126,01,1,0,RW
259127,01,1,0,US
259132,01,2,0,AZ
259132,05,1,0,AZ
259133,01,1,0,RW
259134,01,1,0,SE
259137,01,1,0,CA
259138,01,1,0,GH
259143,01,2,0,PK
259144,01,1,0,KZ
259145,01,1,0,AZ
259146,01,1,0,IN
259149,01,1,0,MA
259150,01,1,0,NL
259152,01,2,0,TN
259155,01,3,0,US
259155,02,4,0,US
259156,01,1,0,EG
259158,01,1,0,EG
259160,36,1,0,ZW
259164,01,1,0,EG
259165,01,1,0,JM
259166,01,1,0,IN
259167,01,2,0,RW
259170,01,1,0,US
259171,01,2,0,US
259171,04,2,1,US
259171,05,2,1,US
259171,06,1,1,US
259172,01,1,0,IN
259174,01,6,1,CA
259174,02,1,1,CA
259174,03,7,1,CA
259174,04,7,1,CA
259174,05,7,1,CA
259174,06,6,1,CA
259174,07,6,1,CA
259174,09,3,1,CA
259174,10,2,1,CA
259174,11,6,1,CA
259174,12,7,1,CA
259174,13,4,1,CA
259174,14,3,1,CA
259174,15,2,1,CA
259174,29,6,1,CA
259174,30,7,1,CA
259174,31,7,1,CA
259174,32,7,1,CA
259174,33,3,1,CA
259174,41,1,1,CA
259178,01,2,0,IN
259178,23,1,0,IN
259180,01,2,0,IN
259180,02,1,0,IN
259180,03,1,0,IN
259181,01,1,0,IN
259183,01,1,0,IN
259183,06,1,0,IN
259184,01,1,0,IN
259187,01,2,0,ID
259188,01,1,0,IN
259190,01,1,0,US
259190,29,1,1,US
259191,01,1,0,AR
259192,01,1,0,ES
259195,01,1,0,PK
259196,01,1,0,CA
259198,01,3,0,IN
259198,03,1,0,IN
259198,05,2,0,IN
259198,08,1,0,IN
259199,01,1,0,IN
259201,03,1,0,IN
259203,01,2,0,NG
259204,01,1,0,EG
259205,01,2,0,PK
259207,01,1,0,IN
259207,04,1,0,IN
259209,01,4,1,ES
259209,39,2,1,ES
259210,01,2,0,CA
259211,01,4,0,PH
259213,01,1,0,AU
259214,01,1,0,VN
259217,01,1,0,IN
259222,01,1,0,IN
259223,01,1,0,BD
259225,01,1,0,KE
259226,01,1,0,MU
259226,29,1,0,MU
259229,01,2,0,IN
259229,26,1,0,IN
259229,36,1,0,IN
259231,01,1,0,US
259232,03,1,0,SK
259233,01,1,0,NZ
259239,01,2,0,BD
259240,01,2,0,SG
259242,01,1,0,AR
259244,01,1,0,EG
259246,01,1,0,US
259247,01,3,0,AE
259250,02,1,0,IN
259254,01,1,0,EG
259254,33,3,0,EG
259257,01,1,0,IN
259258,01,4,1,US
259258,02,7,1,US
259258,03,6,1,US
259258,04,3,1,US
259258,10,4,1,US
259258,11,5,1,US
259258,12,1,1,US
259258,13,1,1,US
259258,14,2,1,US
259258,18,2,1,US
259258,30,3,1,US
259258,31,1,1,US
259258,32,1,1,US
259258,33,2,1,US
259258,38,1,1,US
259258,40,1,1,US
259260,01,3,1,GB
259260,36,1,1,GB
259260,37,1,1,GB
259261,01,1,0,NL
259261,02,1,0,NL
259262,02,2,1,US
259262,03,2,1,US
259262,04,2,1,US
259262,05,1,1,US
259262,06,2,1,US
259262,07,5,1,US
259262,08,5,1,US
259262,09,2,1,US
259262,10,2,1,US
259262,11,3,1,US
259262,14,1,1,US
259262,17,1,1,US
259262,20,2,1,US
259262,21,2,1,US
259262,22,1,1,US
259262,23,1,1,US
259262,24,1,1,US
259262,25,4,1,US
259262,26,2,1,US
259262,27,2,1,US
259264,01,2,0,NO
259266,01,1,0,EG
259267,01,1,0,GB
259268,01,5,1,SE
259268,02,4,1,SE
259268,03,7,1,SE
259268,04,2,1,SE
259268,05,2,1,SE
259269,01,2,0,UZ
259271,01,1,0,NL
259271,02,1,0,NL
259273,01,2,1,US
259274,01,1,0,US
259275,01,1,0,BR
259276,01,1,0,US
259278,01,1,0,SA
259278,05,1,0,SA
259283,01,5,1,AU
259283,02,6,1,AU
259283,03,6,1,AU
259283,04,5,1,AU
259283,05,5,1,AU
259283,06,6,1,AU
259283,07,4,1,AU
259283,08,3,1,AU
259283,09,2,1,AU
259283,10,2,1,AU
259283,11,3,1,AU
259283,12,3,1,AU
259283,13,4,1,AU
259283,14,4,1,AU
259283,15,6,1,AU
259283,16,1,1,AU
259283,17,7,1,AU
259283,18,1,1,AU
259283,19,2,1,AU
259283,20,5,1,AU
259283,21,1,1,AU
259283,22,1,1,AU
259283,23,2,1,AU
259283,24,2,1,AU
259283,25,1,1,AU
259283,26,4,1,AU
259283,27,6,1,AU
259283,28,3,1,AU
259283,29,2,1,AU
259283,41,1,1,AU
259284,01,3,0,ID
259286,01,1,0,IN
259289,01,1,0,IN
259297,01,5,0,UZ
259298,01,1,0,NG
259299,01,1,0,US
259300,01,1,0,CA
259300,02,4,0,CA
259300,04,3,1,CA
259300,12,1,1,CA
259300,17,2,1,CA
259300,18,1,1,CA
259300,19,2,1,CA
259300,20,1,1,CA
259300,21,2,1,CA
259300,22,2,1,CA
259300,23,3,1,CA
259300,31,1,1,CA
259300,35,1,1,CA
259300,37,1,1,CA
259305,01,3,1,GB
259305,02,3,1,GB
259305,03,2,1,GB
259305,06,1,1,GB
259305,07,4,1,GB
259305,08,3,1,GB
259306,01,1,0,SG
259307,01,2,0,AU
259311,01,1,0,US
259315,01,1,0,MY
259316,01,1,0,US
259317,01,3,0,KE
259318,01,1,0,US
259319,04,1,0,KR
259322,01,1,0,PK
259325,01,1,0,IN
259326,01,1,0,IN
259328,01,2,0,BD
259329,01,1,0,IN
259329,41,1,0,IN
259333,01,1,0,NL
259337,01,1,0,IN
259343,03,1,0,NG
259344,01,1,0,US
259345,01,1,0,CI
259349,13,1,0,IN
259350,01,1,0,MY
259350,32,1,0,MY
259350,33,3,0,MY
259351,01,2,0,IN
259354,01,2,0,US
259354,02,1,0,US
259355,01,1,0,EG
259356,01,2,0,IT
259360,01,1,0,JP
259361,30,1,1,DE
259361,31,2,1,DE
259361,36,1,1,DE
259361,37,2,1,DE
259364,01,1,0,MZ
259364,02,3,0,MZ
259365,01,1,0,IN
259366,01,2,0,IN
259371,01,1,0,IN
259372,01,1,0,PK
259374,03,1,0,SA
259378,01,2,0,US
259379,01,1,0,PL
259382,01,1,0,IN
259383,17,1,0,US
259383,20,2,0,US
259383,21,1,0,US
259384,01,1,0,NG
259384,02,2,0,NG
259385,01,1,0,US
259386,01,1,0,JP
259387,03,1,0,EG
259388,01,1,0,BD
259390,01,2,0,VN
259393,01,1,0,ET
259393,03,2,0,ET
259393,06,3,0,ET
259393,38,1,0,ET
259395,01,1,0,US
259395,05,1,0,US
259395,11,1,0,US
259398,01,3,0,US
259398,02,1,0,US
259398,03,2,0,US
259400,02,1,0,EG
259401,01,2,0,US
259402,01,1,0,EG
259402,10,1,0,EG
259402,11,1,0,EG
259402,13,1,0,EG
259403,01,1,0,DZ
259407,01,1,0,US
259408,01,2,1,IN
259408,05,1,1,IN
259408,07,1,1,IN
259408,09,1,1,IN
259408,11,1,1,IN
259408,13,1,1,IN
259410,01,1,0,US
259412,01,2,0,US
259418,01,1,0,EG
259418,04,1,0,EG
259418,22,3,0,EG
259421,01,1,0,US
259422,01,1,0,IN
259422,07,1,0,IN
259424,01,2,0,CO
259426,01,1,0,CA
259426,02,1,0,CA
259426,04,1,0,CA
259427,01,4,0,AE
259427,02,5,0,AE
259427,03,2,0,AE
259429,01,1,1,KR
259429,03,6,1,KR
259429,04,4,1,KR
259429,05,2,1,KR
259429,06,4,1,KR
259429,07,2,1,KR
259429,10,6,1,KR
259429,11,4,1,KR
259429,12,7,1,KR
259429,13,7,1,KR
259429,14,5,1,KR
259429,15,3,1,KR
259429,16,5,1,KR
259429,17,1,1,KR
259429,18,3,1,KR
259433,01,1,0,ID
259435,01,1,0,AU
259435,02,1,0,AU
259436,01,2,0,IN
259436,04,1,0,IN
259437,01,2,0,GB
259437,02,1,1,GB
259437,03,1,1,GB
259437,04,2,1,GB
259440,01,1,0,ID
259441,01,2,0,US
259442,01,1,0,CA
259443,01,1,0,AU
259445,01,2,0,US
259446,01,1,0,US
259447,01,3,1,JP
259451,02,1,0,IN
259451,03,1,0,IN
259452,01,1,0,NG
259454,27,2,0,IN
259454,29,2,0,IN
259456,01,1,0,VN
259457,01,1,0,KH
259458,01,1,0,US
259459,01,1,0,IN
259460,01,1,0,IN
259460,25,1,0,IN
259460,27,2,0,IN
259462,01,2,0,NP
259463,33,1,0,EG
259464,02,1,1,KE
259465,01,1,0,IN
259473,01,1,0,GB
259473,02,1,1,GB
259473,03,1,1,GB
259473,04,1,1,GB
259473,05,1,1,GB
259473,10,1,1,GB
259474,03,1,0,IE
259474,04,1,0,IE
259474,05,3,0,IE
259474,06,4,0,IE
259476,01,2,1,NL
259476,02,4,1,NL
259477,01,1,0,TN
259478,01,2,0,SA
259480,01,1,0,IN
259482,01,2,0,NL
259482,02,3,0,NL
259483,02,3,0,BD
259483,03,3,1,BD
259483,04,2,1,BD
259483,05,2,1,BD
259483,12,1,1,BD
259483,19,1,1,BD
259483,20,1,1,BD
259483,21,2,1,BD
259483,22,3,1,BD
259483,23,1,1,BD
259484,01,1,0,IN
259485,01,1,0,IL
259486,01,2,0,CA
259486,29,2,1,CA
259486,32,1,1,CA
259487,01,2,0,GB
259488,01,1,0,PL
259489,01,1,0,IN
259490,01,1,0,BR
259491,18,1,1,IN
259491,19,2,1,IN
259494,03,1,0,AE
259494,04,3,1,AE
259494,06,3,1,AE
259494,10,2,1,AE
259494,11,3,1,AE
259494,12,1,1,AE
259494,13,1,1,AE
259494,14,1,1,AE
259494,38,1,1,AE
259496,01,1,0,CN
259497,01,1,0,SO
259501,01,1,0,IN
259503,01,2,0,VN
259504,01,2,1,DE
259504,02,6,1,DE
259504,03,2,1,DE
259504,04,5,1,DE
259504,05,1,1,DE
259504,12,1,1,DE
259504,13,3,1,DE
259504,14,4,1,DE
259504,15,7,1,DE
259504,16,7,1,DE
259504,22,2,1,DE
259504,24,4,1,DE
259504,25,4,1,DE
259504,26,2,1,DE
259506,01,2,0,CA
259506,02,4,1,CA
259506,03,1,1,CA
259506,06,1,1,CA
259506,08,4,1,CA
259506,09,2,1,CA
259506,13,1,1,CA
259507,02,1,0,IN
259510,01,4,1,US
259510,02,5,1,US
259510,03,1,1,US
259510,05,2,1,US
259510,06,1,1,US
259513,01,1,0,TN
259515,01,1,0,US
259517,01,1,0,CO
259518,01,2,0,GB
259518,33,3,0,GB
259519,01,3,0,IN
259519,02,1,0,IN
259519,03,1,0,IN
259520,01,1,0,DZ
259523,01,2,0,US
259523,03,1,0,US
259523,04,3,1,US
259523,07,2,1,US
259523,08,4,1,US
259524,01,2,0,US
259524,02,1,0,US
259524,04,5,1,US
259524,05,6,1,US
259524,06,5,1,US
259524,07,4,1,US
259524,08,3,1,US
259524,09,2,1,US
259524,10,4,1,US
259524,11,3,1,US
259524,19,2,1,US
259524,22,2,1,US
259524,23,1,1,US
259524,24,1,1,US
259524,25,1,1,US
259524,27,1,1,US
259524,28,1,1,US
259524,29,3,1,US
259524,30,3,1,US
259524,31,1,1,US
259525,01,1,0,SD
259528,04,1,0,PK
259529,01,1,0,TR
259530,04,1,0,EG
259533,01,2,0,US
259533,12,2,1,US
259533,13,2,1,US
259533,19,4,1,US
259533,20,1,1,US
259533,30,1,1,US
259533,31,1,1,US
259533,32,3,1,US
259533,33,2,1,US
259533,34,3,1,US
259533,35,2,1,US
259533,36,1,1,US
259533,37,1,1,US
259534,01,1,1,US
259534,04,1,1,US
259535,01,1,0,DE
259536,01,1,0,EG
259537,01,1,0,IT
259538,01,1,0,US
259541,01,1,0,US
259545,01,1,0,CA
259545,02,1,0,CA
259547,01,1,0,IN
259548,01,1,0,US
259549,01,1,0,AU
259549,03,1,1,AU
259549,04,2,1,AU
259549,05,2,1,AU
259549,06,4,1,AU
259549,11,1,1,AU
259549,15,1,1,AU
259549,25,1,1,AU
259549,26,1,1,AU
259549,36,1,1,AU
259557,02,1,0,IN
259558,01,1,0,GB
259559,01,1,0,NP
259560,01,1,0,TG
259561,01,2,0,NL
259564,01,1,0,IN
259565,01,1,0,DE
259567,01,1,0,EG
259568,01,1,0,US
259568,05,2,0,US
259568,06,2,0,US
259568,07,2,0,US
259568,37,2,0,US
259568,40,1,0,US
259570,01,1,0,UZ
259572,01,1,0,NG
259573,01,1,0,BD
259574,01,2,0,KE
259574,03,1,0,KE
259575,01,1,0,IN
259575,02,1,0,IN
259577,01,1,0,KE
259579,01,1,0,EG
259581,01,2,0,IN
259582,01,1,0,PE
259587,01,1,0,TR
259589,01,1,0,GB
259590,01,3,0,VN
259590,02,1,0,VN
259593,01,1,0,EG
259596,01,1,0,IN
259601,01,1,0,IN
259601,02,2,0,IN
259602,01,1,0,IN
259603,01,1,0,ID
259606,01,1,0,EG
259606,29,1,0,EG
259607,01,1,0,JP
259608,01,1,0,BR
259610,01,1,0,IL
259611,01,1,0,IN
259611,04,1,0,IN
259613,01,1,0,US
259614,01,3,1,US
259614,02,4,1,US
259614,03,2,1,US
259614,05,1,1,US
259619,01,1,0,UA
259620,04,1,0,IN
259620,05,3,0,IN
259622,01,2,0,IN
259623,01,1,0,CA
259624,01,2,0,IN
259630,01,1,0,AZ
259634,01,2,0,SN
259635,01,2,1,US
259638,01,1,0,US
259640,01,2,0,US
259642,08,1,0,US
259644,01,1,0,PK
259645,01,1,0,DJ
259652,01,2,0,US
259654,01,2,0,BE
259654,02,2,0,BE
259654,05,3,0,BE
259654,06,2,0,BE
259654,07,1,0,BE
259654,10,1,0,BE
259654,11,1,0,BE
259654,25,1,0,BE
259654,41,1,0,BE
259654,42,1,0,BE
259655,01,2,0,SA
259657,01,3,1,GH
259657,02,5,1,GH
259657,03,4,1,GH
259657,04,5,1,GH
259657,05,3,1,GH
259657,07,1,1,GH
259657,08,4,1,GH
259657,09,4,1,GH
259657,10,6,1,GH
259657,11,1,1,GH
259657,12,2,1,GH
259657,13,4,1,GH
259657,14,3,1,GH
259657,15,3,1,GH
259657,16,1,1,GH
259657,18,2,1,GH
259657,19,2,1,GH
259657,20,2,1,GH
259657,25,3,1,GH
259657,26,1,1,GH
259657,30,4,1,GH
259657,32,1,1,GH
259657,35,1,1,GH
259659,01,1,0,EG
259662,01,1,0,GH
259664,02,3,1,US
259664,03,1,1,US
259664,06,1,1,US
259666,15,1,0,VN
259668,01,1,0,IN
259670,01,1,0,IN
259672,01,1,0,IN
259676,01,1,0,US
259678,01,1,0,US
259679,33,1,0,SA
259680,10,1,0,IN
259680,12,1,0,IN
259682,01,1,0,AU
259683,05,1,0,GB
259684,01,1,1,AU
259684,03,1,1,AU
259684,05,3,1,AU
259684,06,1,1,AU
259684,07,4,1,AU
259684,08,2,1,AU
259685,01,1,0,NL
259688,01,1,0,IN
259689,02,2,1,SA
259692,01,1,0,IN
259695,01,2,0,EG
259697,01,1,0,GH
259702,01,2,1,DE
259702,13,2,1,DE
259702,20,1,1,DE
259702,32,4,1,DE
259702,33,2,1,DE
259703,01,1,0,VN
259704,10,1,0,DE
259704,33,2,0,DE
259705,01,1,0,NG
259706,01,2,0,NG
259706,02,2,0,NG
259708,01,1,0,EG
259710,01,1,0,US
259711,01,1,0,EG
259711,02,3,0,EG
259712,01,1,0,EG
259715,01,2,0,IN
259715,02,2,0,IN
259715,04,1,0,IN
259715,23,1,0,IN
259715,24,2,0,IN
259719,01,1,0,VN
259723,01,1,0,EE
259724,01,1,0,CA
259724,22,1,0,CA
259726,01,1,0,TN
259727,01,2,1,GB
259727,02,1,1,GB
259727,03,1,1,GB
259727,04,1,1,GB
259727,05,3,1,GB
259727,06,2,1,GB
259727,08,2,1,GB
259727,09,2,1,GB
259727,11,5,1,GB
259728,01,1,0,US
259729,01,1,0,SL
259730,01,1,0,EG
259730,02,2,0,EG
259730,03,1,0,EG
259731,01,1,0,EG
259731,02,1,1,EG
259731,03,2,1,EG
259731,04,3,1,EG
259731,06,1,1,EG
259731,10,3,0,EG
259732,01,1,0,NG
259736,01,1,0,EG
259737,01,1,0,IN
259739,01,2,0,GB
259739,02,1,0,GB
259742,01,1,0,TN
259744,01,2,0,DE
259745,01,2,0,US
259748,01,1,0,SA
259749,01,1,0,US
259750,01,1,0,CA
259752,02,2,0,GB
259753,01,1,0,EG
